video_size,output_format,n_frames,time,cpu_usage,compress_ratio
1,wmv,10,1.004,150,0.671
1,wmv,10,1.036,149,0.671
1,wmv,10,1.012,150,0.671
1,wmv,10,1.012,148,0.671
1,wmv,10,1.008,149,0.671
1,wmv,25,1.004,151,0.671
1,wmv,25,1.008,149,0.671
1,wmv,25,1.000,149,0.671
1,wmv,25,1.024,150,0.671
1,wmv,25,1.008,150,0.671
1,wmv,100,1.008,150,0.671
1,wmv,100,1.012,148,0.671
1,wmv,100,1.012,149,0.671
1,wmv,100,1.020,150,0.671
1,wmv,100,1.008,151,0.671
1,avi,10,1.032,197,0.679
1,avi,10,1.048,192,0.679
1,avi,10,1.044,191,0.679
1,avi,10,1.024,190,0.679
1,avi,10,1.032,193,0.679
1,avi,25,1.028,198,0.679
1,avi,25,1.044,192,0.679
1,avi,25,1.020,193,0.679
1,avi,25,1.048,194,0.679
1,avi,25,1.024,203,0.679
1,avi,100,1.040,192,0.679
1,avi,100,1.024,193,0.679
1,avi,100,1.028,196,0.679
1,avi,100,1.044,195,0.679
1,avi,100,1.040,204,0.679
1,mpeg,10,1.028,193,0.805
1,mpeg,10,1.000,197,0.805
1,mpeg,10,1.008,197,0.805
1,mpeg,10,1.012,197,0.805
1,mpeg,10,1.004,202,0.805
1,mpeg,25,1.016,194,0.805
1,mpeg,25,1.024,197,0.805
1,mpeg,25,1.020,190,0.805
1,mpeg,25,1.020,193,0.805
1,mpeg,25,1.024,182,0.805
1,mpeg,100,1.032,193,0.805
1,mpeg,100,1.020,193,0.805
1,mpeg,100,1.016,159,0.805
1,mpeg,100,1.000,194,0.805
1,mpeg,100,1.000,180,0.805
5,wmv,10,5.224,150,0.592
5,wmv,10,5.184,120,0.592
5,wmv,10,5.184,150,0.592
5,wmv,10,5.160,151,0.592
5,wmv,10,5.168,151,0.592
5,wmv,25,5.208,150,0.592
5,wmv,25,5.168,151,0.592
5,wmv,25,5.196,150,0.592
5,wmv,25,5.184,151,0.592
5,wmv,25,5.228,151,0.592
5,wmv,100,5.180,150,0.592
5,wmv,100,5.208,150,0.592
5,wmv,100,5.180,150,0.592
5,wmv,100,5.164,151,0.592
5,wmv,100,5.212,150,0.592
5,avi,10,5.432,199,0.575
5,avi,10,5.256,214,0.575
5,avi,10,5.226,213,0.575
5,avi,10,5.324,211,0.575
5,avi,10,5.332,211,0.575
5,avi,25,5.352,211,0.575
5,avi,25,5.348,210,0.575
5,avi,25,5.260,210,0.575
5,avi,25,5.244,205,0.575
5,avi,25,5.400,201,0.575
5,avi,100,5.324,212,0.575
5,avi,100,5.376,207,0.575
5,avi,100,5.336,211,0.575
5,avi,100,5.264,210,0.575
5,avi,100,5.352,204,0.575
5,mpeg,10,5.164,210,0.659
5,mpeg,10,5.248,209,0.659
5,mpeg,10,5.204,195,0.659
5,mpeg,10,5.200,199,0.659
5,mpeg,10,5.144,207,0.659
5,mpeg,25,5.176,190,0.659
5,mpeg,25,5.192,196,0.659
5,mpeg,25,5.208,192,0.659
5,mpeg,25,5.184,199,0.659
5,mpeg,25,5.152,208,0.659
5,mpeg,100,5.196,192,0.659
5,mpeg,100,5.216,191,0.659
5,mpeg,100,5.220,191,0.659
5,mpeg,100,5.204,194,0.659
5,mpeg,100,5.200,197,0.659
10,wmv,10,10.572,141,0.568
10,wmv,10,10.528,149,0.568
10,wmv,10,10.584,148,0.568
10,wmv,10,10.604,148,0.568
10,wmv,10,10.636,148,0.568
10,wmv,25,10.520,149,0.568
10,wmv,25,10.536,149,0.568
10,wmv,25,10.520,149,0.568
10,wmv,25,10.568,148,0.568
10,wmv,25,10.628,149,0.568
10,wmv,100,10.529,149,0.568
10,wmv,100,10.560,148,0.568
10,wmv,100,10.576,148,0.568
10,wmv,100,10.536,148,0.568
10,wmv,100,10.776,148,0.568
10,avi,10,10.832,204,0.564
10,avi,10,10.808,204,0.564
10,avi,10,10.840,206,0.564
10,avi,10,10.868,202,0.564
10,avi,10,10.916,203,0.564
10,avi,25,10.860,202,0.564
10,avi,25,10.756,194,0.564
10,avi,25,10.844,204,0.564
10,avi,25,10.856,203,0.564
10,avi,25,10.960,202,0.564
10,avi,100,10.892,205,0.564
10,avi,100,10.908,206,0.564
10,avi,100,10.860,206,0.564
10,avi,100,10.896,206,0.564
10,avi,100,10.944,209,0.564
10,mpeg,10,10.496,203,0.627
10,mpeg,10,10.484,205,0.627
10,mpeg,10,10.472,207,0.627
10,mpeg,10,10.480,198,0.627
10,mpeg,10,10.496,199,0.627
10,mpeg,25,10.456,204,0.627
10,mpeg,25,10.472,206,0.627
10,mpeg,25,10.500,206,0.627
10,mpeg,25,10.464,204,0.627
10,mpeg,25,10.508,206,0.627
10,mpeg,100,10.476,205,0.627
10,mpeg,100,10.412,203,0.627
10,mpeg,100,10.496,201,0.627
10,mpeg,100,10.426,204,0.627
10,mpeg,100,10.476,206,0.627
